	pmid	keywords	pub_types
0	32437340	['Child, Preschool', 'Coronavirus Infections/*epidemiology', 'Humans', 'Infant', 'Michigan/epidemiology', '*Pandemics', 'Pneumonia, Viral/*epidemiology', 'Quality Improvement', 'Registries', 'Vaccination Coverage/*statistics & numerical data'],  	['Journal Article']
1	32436445	['Antiviral Agents/adverse effects/therapeutic use', 'Coronavirus Infections/*drug therapy', 'Humans', 'Pandemics', 'Pneumonia, Viral/*drug therapy', 'Randomized Controlled Trials as Topic'], ['*IL-6', '*MERS', '*SARS-COV-1', '*convalescent blood products', '*coronavirus', '*corticosteroids convalescent sera', '*favipiravir', '*interferons', '*lopinavir-ritonavir', '*novel virus', '*remdesivir', '*ribavirin', '*tocilizumab']	['Journal Article', 'Review']
2	32435602	['Coronavirus Infections/*epidemiology/*nursing', 'Humans', '*Pandemics', 'Pneumonia, Viral/*epidemiology/*nursing'],  	['Editorial']
3	32434963	['Betacoronavirus', '*Coronavirus', '*Coronavirus Infections', 'Dentists', 'Disease Outbreaks', 'Humans', 'Pandemics', 'Pneumonia, Viral'],  	['Journal Article']
4	32434891	['Cardiovascular Diseases/*diagnosis/therapy', 'Coronavirus Infections/*epidemiology', 'Humans', 'Pandemics', 'Pneumonia, Viral/*epidemiology', 'Practice Guidelines as Topic', 'United Kingdom/epidemiology'],  	['Journal Article']
5	32434792	['Alcohol Drinking/*epidemiology', 'Coronavirus Infections/*epidemiology', 'Domestic Violence/statistics & numerical data', 'Epidemics', 'Humans', 'Pandemics', 'Pneumonia, Viral/*epidemiology', 'Quarantine', 'Social Isolation', 'United Kingdom/epidemiology'],  	['Editorial']
6	32434416	['Animals', 'Coronavirus Infections/*pathology', '*Disease Models, Animal', 'Humans', 'Mice', 'Pandemics', 'Pluripotent Stem Cells/*transplantation', 'Pneumonia, Viral/*pathology', 'Research/legislation & jurisprudence/standards/trends', 'Respiratory Tract Infections/*pathology', 'Transplantation, Heterologous/*legislation & jurisprudence/trends'], ['*SARS-CoV-2', '*animal model', '*pluripotent stem cell', '*respiratory infectious diseases']	['Editorial']
7	32432433	['Betacoronavirus', '*Coronavirus Infections/complications', 'Humans', '*Hypertension/complications', '*Pandemics', '*Pneumonia, Viral/complications', 'Severity of Illness Index'],  	['Journal Article']
8	32432424	['Adaptation, Psychological', 'Coronavirus Infections/*epidemiology', 'Humans', 'Pandemics', 'Pneumonia, Viral/*epidemiology', '*Stress, Psychological', 'Suicide/*statistics & numerical data'],  	['Journal Article']
9	32432330	['Aged', 'Coronavirus Infections/*epidemiology', '*Goals', 'Humans', '*Nursing Research', '*Pandemics', 'Pneumonia, Viral/*epidemiology', '*Value of Life'],  	['Editorial']
10	32431134	['*Betacoronavirus', 'Continuous Positive Airway Pressure', 'Coronavirus Infections/complications/*rehabilitation', 'Humans', 'Italy', 'Noninvasive Ventilation', 'Pandemics', 'Physical Therapy Modalities', 'Pneumonia, Viral/complications/*rehabilitation', 'Respiration, Artificial', 'Respiratory Insufficiency/*rehabilitation/therapy', 'Respiratory Therapy/*methods/trends'],  	['Journal Article']
11	32431120	['Betacoronavirus', 'Coronavirus Infections/*epidemiology', 'Disease Outbreaks', 'Humans', '*Medical Staff', '*Pandemics', 'Pneumonia, Viral/*epidemiology', 'World Health Organization'],  	['Journal Article', 'Review']
12	32431119	['Animals', 'Betacoronavirus', 'Coronavirus Infections/epidemiology/*psychology', 'Disease Outbreaks', 'HIV', 'Humans', '*Mental Health', 'Orthomyxoviridae Infections', '*Pandemics', 'Pneumonia, Viral/epidemiology/*psychology', 'Zika Virus', 'Zika Virus Infection'],  	['Journal Article', 'Review']
13	32431118	['Betacoronavirus', 'Child', 'Coronavirus Infections/complications/diagnosis/*epidemiology', 'Disease Outbreaks', 'Humans', 'Infant', 'Infant, Newborn', 'Infectious Disease Transmission, Vertical', 'Pandemics', 'Pneumonia, Viral/complications/diagnosis/*epidemiology'],  	['Journal Article']
14	32430461	['Betacoronavirus', 'Coronavirus Infections', 'Humans', '*Hydroxychloroquine', '*Oxygen', 'Pandemics', 'Pneumonia, Viral', 'Treatment Outcome'],  	['Editorial', 'Comment']
15	32430309	['Antibodies, Viral/analysis', 'Betacoronavirus/immunology', 'Clinical Laboratory Techniques/*methods', 'Coronavirus Infections/diagnosis/immunology', 'Epidemiological Monitoring', 'Humans', 'Pandemics', 'Pneumonia, Viral/immunology'],  	"['Journal Article', ""Research Support, Non-U.S. Gov't""]"
16	32430081	['Betacoronavirus', '*Communication', '*Coronavirus Infections', 'Humans', '*Pandemics', '*Pneumonia, Viral'],  	['Letter']
17	32430057	['Adrenal Cortex Hormones/*therapeutic use', 'Aged', 'Chemotherapy, Adjuvant', 'Coronavirus Infections/*drug therapy', '*Critical Care', 'Female', 'Humans', 'Male', 'Middle Aged', 'Pandemics', 'Pneumonia, Viral/*drug therapy', 'Retrospective Studies', 'Treatment Outcome'],  	['Letter']
18	32429991	['Betacoronavirus', 'Child', '*Coronavirus Infections/epidemiology', 'Emergencies', '*Exercise', 'Guidelines as Topic', 'Humans', 'Infection Control', 'Italy', '*Pandemics', '*Pneumonia, Viral/epidemiology', '*Quarantine', '*Recreation'], ['Children', 'Coronavirus infection', 'Outdoor activities', 'Quarantine', 'Social distancing']	['Letter']
19	32429580	['Adenosine Monophosphate/*analogs & derivatives/pharmacology', 'Alanine/*analogs & derivatives/pharmacology', 'Anti-HIV Agents/chemistry/*pharmacology', 'Betacoronavirus/drug effects/enzymology', 'Cell Line', 'Coronavirus 229E, Human/*drug effects/enzymology', 'Coronavirus Infections/drug therapy', 'Humans', 'Pandemics', 'Pneumonia, Viral/drug therapy', 'RNA Replicase/metabolism', 'Reverse Transcriptase Inhibitors/chemistry/*pharmacology'], ['HCoV-229E', 'NRTIs', 'RNA polymerase', 'SARS-COV-2', 'antiviral', 'remdesivir']	['Journal Article']
20	32429572	['Animals', 'Betacoronavirus/*metabolism', 'Biosynthetic Pathways', 'Coronavirus Infections/drug therapy/*metabolism/virology', 'Endocytosis/drug effects', 'Humans', '*Lipid Metabolism', 'Pandemics', 'Pneumonia, Viral/drug therapy/*metabolism/virology', 'Virus Internalization/drug effects'], ['COVID-19', 'SARS-COV-2', 'coronavirus', 'endocytosis', 'lipid metabolism', 'sphingolipid']	['Journal Article', 'Review']
21	32429235	['AMP-Activated Protein Kinases/genetics/*metabolism', 'Animals', 'Diet', 'Humans', 'Metabolic Diseases/metabolism/pathology', 'Oxygen/*metabolism', 'Protein Isoforms/metabolism', 'Respiration', 'Respiration Disorders/metabolism/pathology', 'Thermogenesis'], ['AMPK', 'COVID-19', 'acute respiratory distress syndrome', 'altitude', 'feeding', 'hypoxic pulmonary vasoconstriction', 'hypoxic ventilatory response', 'oxygen', 'pulmonary hypertension', 'seep-disordered breathing']	['Journal Article', 'Review']
22	32429099	['Animals', 'Betacoronavirus/*enzymology', 'Coronavirus/enzymology', 'Coronavirus Infections/drug therapy', 'Cysteine Endopeptidases', 'Deubiquitinating Enzymes/*antagonists & inhibitors', 'Humans', 'Pandemics', 'Pneumonia, Viral/drug therapy', 'Viral Nonstructural Proteins/antagonists & inhibitors'], ['COVID-19', 'COVID-19 therapy', 'DUBs', 'PLP inhibitors', 'SARS', 'SARS-CoV2', 'coronavirus', 'papain-like protease']	['Journal Article', 'Review']
23	32428957	['*Betacoronavirus', 'Coronavirus Infections/*diagnosis/*epidemiology', 'Cough/diagnosis', 'Disease Outbreaks', 'Disease Progression', 'Female', 'Fever/diagnosis', 'Germany/epidemiology', 'Humans', 'Lung/pathology', 'Male', 'Middle Aged', 'Pandemics', 'Pneumonia, Viral/*diagnosis/*epidemiology'],  	['Case Reports', 'Journal Article']
24	32428432	['Betacoronavirus', '*Coronavirus Infections/epidemiology', 'Cost-Benefit Analysis', '*Health Policy/economics', 'Humans', '*Pandemics', '*Pneumonia, Viral/epidemiology', '*Policy Making', '*Quarantine/economics', 'Social Conditions', 'Social Control, Formal'],  	['Letter']
25	32428166	['Animals', 'Cat Diseases/epidemiology/*transmission/virology', 'Cats', 'Coronavirus Infections/epidemiology/*transmission/*veterinary', 'Humans', 'Pandemics/*veterinary', 'Pneumonia, Viral/epidemiology/*transmission/*veterinary', '*Zoonoses'],  	['Journal Article']
26	32428144	['*Betacoronavirus', '*Coronavirus Infections/diagnosis/epidemiology/therapy/transmission', 'Diagnosis, Differential', 'Humans', '*Pandemics', '*Pneumonia, Viral/diagnosis/epidemiology/therapy/transmission', 'Risk Factors'],  	['Journal Article']
27	32428087	['*Betacoronavirus', 'Coronavirus Infections/*epidemiology', '*Evidence-Based Medicine', 'Humans', '*Pandemics', 'Pneumonia, Viral/*epidemiology', 'Quarantine'],  	['Letter']
28	32428069	"['*Betacoronavirus', 'Coronavirus Infections/*epidemiology/prevention & control', 'Humans', '*Pandemics/prevention & control', 'Personal Protective Equipment/*standards/statistics & numerical data', ""Physician's Role"", 'Pneumonia, Viral/*epidemiology/prevention & control', 'Surgeons/*statistics & numerical data', 'Surveys and Questionnaires'],  "	['Journal Article']
29	32428031	['Asia/epidemiology', 'Coronavirus Infections/epidemiology/*transmission', 'Humans', 'Occupational Diseases/epidemiology/virology', 'Occupational Exposure/*statistics & numerical data', 'Pandemics', 'Pneumonia, Viral/epidemiology/*transmission'],  	['Journal Article', 'Observational Study']
30	32427914	['Advisory Committees/*organization & administration', 'Citizen Science', 'Coronavirus Infections/*epidemiology', '*Health Policy', 'Humans', 'Italy/epidemiology', 'Mental Health', 'Pandemics', 'Pneumonia, Viral/*epidemiology', '*Policy Making', '*Public Health', 'Socioeconomic Factors'], ['*Diseases', '*Policy', '*SARS-CoV-2']	['Letter']
31	32427569	['Antibodies, Viral/*blood', 'Asymptomatic Infections', 'Betacoronavirus/*isolation & purification', '*Clinical Laboratory Techniques', 'Coronavirus Infections/*diagnosis', '*Health Personnel', 'Humans', 'Hungary', 'Immunoglobulin G/blood', 'Immunoglobulin M/blood', 'Pandemics', 'Pneumonia, Viral/*diagnosis'], ['*COVID-19', '*COVID-19', '*IgM/IgG gyorstesztek COVID-19-kimutatasra', '*RT-PCR', '*SARS-CoV-2', '*egeszsegugyi dolgozok', '*epidemic', '*healthcare workers', '*jarvany', '*pandemic', '*pandemia', '*rapid antibody tests for COVID-19', '*vilagjarvany']	['Journal Article']
32	32425955	['Antibodies, Viral/chemistry/*immunology', 'Betacoronavirus/*immunology', 'Epitopes/*chemistry', 'Humans', 'Immunoglobulin M/chemistry/*immunology', 'Peptides/chemistry/immunology', 'Spike Glycoprotein, Coronavirus/chemistry/immunology'], ['*B cell precursors', '*IgM', '*SARS-CoV-2', '*epitope', '*mimotope']	"['Journal Article', ""Research Support, Non-U.S. Gov't""]"
33	32425950	['Betacoronavirus/*physiology', 'Coronavirus Infections/blood/*immunology/pathology', 'Cytokines/blood', 'Humans', 'Lymphocyte Count', 'Pandemics', 'Pneumonia, Viral/blood/*immunology/pathology', 'T-Lymphocytes/immunology'], ['*COVID-19', '*SARS- CoV-2', '*T cell exhaustion', '*T cell reduction', '*cytokine strom']	"['Journal Article', ""Research Support, Non-U.S. Gov't""]"
34	32425514	['Anxiety', 'Betacoronavirus', 'Coronavirus Infections/*epidemiology', 'Humans', 'Information Dissemination', 'Pandemics', 'Pneumonia, Viral/*epidemiology', 'Pulmonary Disease, Chronic Obstructive/*complications/therapy'],  	['Editorial']
35	32425184	['Betacoronavirus/isolation & purification/*pathogenicity', 'Coronavirus Infections/*complications', 'Female', 'Humans', 'Middle Aged', 'Myocardial Infarction/*etiology/virology', 'Pandemics', 'Pneumonia, Viral/*complications', 'Prognosis', 'Takotsubo Cardiomyopathy/*etiology/virology'],  	['Case Reports', 'Journal Article']
36	32425183	['*Communicable Disease Control', 'Coronavirus Infections/*prevention & control/transmission', 'Disease Transmission, Infectious/*prevention & control', '*Heart Diseases/diagnosis/therapy', 'Humans', 'Pandemics/*prevention & control', 'Personal Protective Equipment', 'Pneumonia, Viral/*prevention & control/transmission', 'Risk Assessment'],  	['Journal Article']
37	32425182	['Cardiovascular Diseases/*prevention & control', 'Communication', 'Coronavirus Infections/*prevention & control/transmission', 'Disease Transmission, Infectious/*prevention & control', '*Health Behavior', 'Humans', 'Life Style', 'Pandemics/*prevention & control', 'Physician-Patient Relations', 'Pneumonia, Viral/*prevention & control/transmission', '*Risk Reduction Behavior'],  	['Journal Article']
38	32425181	['Cardiovascular Surgical Procedures/methods/*standards', 'Coronavirus Infections/*complications', 'Humans', 'Italy', 'Pandemics', 'Pneumonia, Viral/*complications', '*Practice Guidelines as Topic', 'Risk Assessment', 'Societies, Medical'],  	['Journal Article']
39	32425014	['Betacoronavirus/isolation & purification', 'Cardiovascular Diseases/*diagnostic imaging/*virology', 'Coronavirus Infections/*diagnostic imaging/*physiopathology/virology', 'Echocardiography/*methods', 'Humans', 'Male', 'Middle Aged', 'Pandemics', 'Pneumonia, Viral/*diagnostic imaging/*physiopathology/virology'],  	['Journal Article']
40	32425013	['Betacoronavirus/isolation & purification', 'Blood Coagulation/physiology', 'Blood Coagulation Disorders/blood/epidemiology/*virology', 'Coronavirus Infections/*blood/epidemiology', 'Humans', 'Pandemics', 'Pneumonia, Viral/*blood/epidemiology'],  	['Journal Article', 'Review']
41	32425010	['Adult', 'Aged', 'Aged, 80 and over', 'Betacoronavirus', 'China', 'Coronavirus Infections/*diagnosis/therapy', 'Cross Infection/prevention & control', 'Disinfection/*methods', 'Endoscopes/*virology', 'Equipment Contamination/*prevention & control', 'Female', 'Humans', 'Male', 'Middle Aged', 'Pandemics', 'Peracetic Acid', 'Personal Protective Equipment', 'Pneumonia, Viral/*diagnosis/therapy', 'Sterilization/methods', '*Workflow'], ['Novel coronavirus; Coronavirus disease 2019 (COVID-19); 2019 novel coronavirus', '(2019-nCoV); Disinfection; Gastrointestinal endoscopy; Infection prevention and', 'control']	['Journal Article']
42	32425009	['Aged', 'Betacoronavirus', 'China', 'Coronavirus Infections/*complications', 'Humans', 'Lung Diseases/surgery/*virology', '*Lung Transplantation', 'Male', 'Pandemics', '*Percutaneous Coronary Intervention', 'Pneumonia, Viral/*complications', 'ST Elevation Myocardial Infarction/*surgery/virology'], ['Coronavirus disease 2019 (COVID-19); Lung Transplantation; ST-segment elevation', 'myocardial infarction; Percutaneous coronary revascularization']	['Case Reports', 'Journal Article']
43	32425008	['Adult', 'Betacoronavirus', 'China', 'Clinical Laboratory Techniques', 'Coronavirus Infections/*diagnosis/*transmission', 'Female', 'Humans', 'Male', 'Middle Aged', 'Pandemics', 'Patient Discharge', 'Pneumonia, Viral/*diagnosis/*transmission', 'Real-Time Polymerase Chain Reaction', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sputum/virology'], ['Coronavirus disease 2019 (COVID-19); severe acute respiratory syndrome', 'coronavirus 2 (SARS-CoV-2); Real-time polymerase chain reaction (RT-PCR)']	['Case Reports', 'Journal Article']
