Property,sameAs,Description,cardinality,marginality,domainIncludes,expected type,allowed values,,China Clinical trial registry,clinicaltrials.gov,UMIN CTR
name,schema:name,Official or scientific title of the study,one,required,outbreak:ClinicalTrial,schema:Text,,,Title.scientific,OfficialTitle,Scientific title
alternateName,schema:alternateName,"Brief title, acronyms, or public titles for the study",many,optional,outbreak:ClinicalTrial,schema:Text,,,Title.public,"BriefTitle, Acronym","Public title, Acronym"
identifier,schema:identifier,Registration number or identifier assigned to the study,many,required,outbreak:ClinicalTrial,schema:Text,,,Registration Number,NCT or secondary identifier value,TrialID
identifier.source,prs:SecondaryIdType,"Source of identifier assignment or type of identifier (NCTid, China CTRid, EudraCT Number, etc.)",many,required,outbreak:ClinicalTrial,schema:Text,,,,"NCTid, SecondaryIdType",Source Register
url,schema:url,url where the study can be found,one,required,outbreak:ClinicalTrial,schema:URL,,,,web address,
status,schema:status,The recruitment status of the study,one,required,outbreak:ClinicalTrial,schema:Text,"""Not yet recruiting"", ""Recruiting"", ""Enrolling by invitation"", ""Active, not recruiting"", ""Suspended"", ""Terminated"", ""Completed"", ""Withdrawn"", ""Unknown status""",,recruitment status,Status,Recruitment Status
status.expandedAccess,prs:HasExpandedAccess,Flag for whether or not the study has expanded Access status,one,recommended,outbreak:ClinicalTrial,schema:Text,"""Available"", ""No longer available"", ""Temporarily not available"", ""Approved for marketing"" ",,,,
status.date,prs:StatusVerifiedDate,The date that the status was verified. Equivalent to NCT's StatusVerifiedDate,one,recommended,outbreak:ClinicalTrial,schema:Date,,,,,
description,schema:description,"Description of the study can be found in the ""BriefSummary"" field of the ""DescriptionModule"" for schema used in ClinicalTrials.gov",one,required,outbreak:ClinicalTrial,schema:Text,,,,,
studyEvent,schema:temporal,"events such as Study Start, Primary Completion, Completion, StudyFirstSubmit, StudyFirstSubmitQC, LastUpdateSubmit",many,recommended,outbreak:ClinicalTrial,schema:Text,"""StartDate"", ""PrimaryCompletionDate"", ""CompletionDate"", ""StudyFirstSubmitDate"", ""StudyFirstSubmitQCDate"", ""LastUpdateSubmitDate""",,,,
studyEvent.date,"prs:StartDate, Primary CompletionDate, CompletionDate, StudyFirstSubmitDate, StudyFirstSubmitQCDate, LastUpdateSubmitDate","StartDate, Primary CompletionDate, CompletionDate, StudyFirstSubmitDate, StudyFirstSubmitQCDate, LastUpdateSubmitDate",one per studyEvent,recommended,outbreak:ClinicalTrial,schema:Date,,,"StudyStartDate, StudyEndDate","StudyStartDate, PrimaryCompletionDate","Date registration, Date registration3, Date enrollement"
studyEvent.type,"prs:StartDateType, PrimaryCompletionDateType, StudyFirstPostDateType","the type of date provided (actual, anticipated, or estimated)",one per studyEvent,recommended,outbreak:ClinicalTrial,schema:Text,"""actual"", ""anticipated"", ""estimated""",,,SubmissionDate,
dateModified,prs:LastUpdatePostDateType,LastUpdatePostDate,many,recommended,outbreak:ClinicalTrial,schema:Date,,,,LastUpdateDate,
dateModified.type,prs:LastUpdatePostDateType,LastUpdatePostDateType,one per date modified,recommended,outbreak:ClinicalTrial,schema:Text,"""actual"", ""anticipated"", ""estimated""",,,,
funder,schema:funder,"A sponsor, funder, or collaborator for the study",many,required,outbreak:ClinicalTrial,outbreak:Organization,,,,Sponsor,Primary sponsor
funder.name,prs:LeadSponsorName or CollaboratorName,The name of the sponsoring or funding organization,one per funder,recommended,outbreak:ClinicalTrial,schema:Text,,,,Sponsor.Lead,
funder.class,prs:LeadSponsorClass or CollaboratorClass ,The type of organization,one per funder,optional,outbreak:ClinicalTrial,schema:Text,"""U.S. National Institutes of Health"", ""Other U.S. Federal agencies"", ""Industry"", ""All others""",,,FunderType,
funder.role,schema:additionalType,"LeadSponsor, funder, collaborator",one per funder,recommended,outbreak:ClinicalTrial,schema:Text,"""LeadSponsor"", ""funder"", ""collaborator""",,,Sponsor.Collaborator,
author,schema:author,"The study's author, this includes ResponsiblePartyInvestigator, Contacts, and OverallOfficials",many,required,outbreak:ClinicalTrial,"[outbreak:Person, outbreak:Organization, prs:OverallOfficial, prs:OverallContact]",,,,,
author.name,schema:name,"The name of the study author as it appears in the registery. May include values from the following NCT fields: ResponsiblePartyInvestigatorFullName, OverallOfficialName, ContactName",one per author,required,outbreak:ClinicalTrial,schema:Text,,,,,
author.givenName,schema:givenName,The given name of the study author,one per author,recommended,outbreak:ClinicalTrial,schema:Text,,,,Contact Firstname,
author.familyName,schema:familyName,The family name of the study author,one per author,recommended,outbreak:ClinicalTrial,schema:Text,,,,Contact Lastname,
author.affiliation,schema:affiliation,Affiliation associated with the study author,many per author,recommended,outbreak:ClinicalTrial,schema:Text,,,,Contact Affiliation,
author.role,schema:additionalType,"The role of this particular author in this study, this includes roles such as ResponsibleParty, Contacts, values of OverallOfficialRole, Investigator",many per author,recommended,outbreak:ClinicalTrial,schema:Text,"""ResponsibleParty"", ""principal investigator"", ""site sub-investigator"", ""study chair"", ""study director"", ""study principal investigator"", ""Contact""",,,,
studyLocation,schema:studyLocation,The location of the study,many,recommended,outbreak:ClinicalTrial,prs:Location,,,Location,Location,Countries
studyLocation.City,prs: Location:LocationCity,The city in which the facility used for the study is located,one per location,recommended,outbreak:ClinicalTrial,schema:Text,,,,,
studyLocation.LocationCountry,prs:Location:LocationCountry,The countryin which the facility used for the study is located,one per location,recommended,outbreak:ClinicalTrial,schema:Text,,,,,
studyDesign,prs:DesignModule or DesignInfo,The general design of the study,many,recommended,outbreak:ClinicalTrial,outbreak:StudyDesign,,,study design,study design,Study design
