Property,sameAs,Description,cardinality,marginality,domainIncludes,expected type,allowed values
name,schema:name,Title of the article,one,required,outbreak:Publication,schema:Text,
identifier,schema:identifier,"DOI (preferred) or PMID (e.g., 10.1126/sciimmunol.aaw6329, PMID:31471352)",one,required,outbreak:Publication,schema:Text,
doi,schema:identifier,DOI,one,recommended,outbreak:Publication,schema:Text,doi
pmid,schema:identifier,PMID,one,recommended,outbreak:Publication,schema:Number,pmid
datePublished,schema:datePublished,PublicationDate online if available,one,required,outbreak:Publication,schema:Date,
journalName,schema:name,Journal or preprint server name,one,required,outbreak:Publication,schema:Text,
journalNameAbbrevation,schema:name,"Abbreviated Journal Title (note, this should be autopopulated)",one,recommended,outbreak:Publication,schema:Text,
volumeNumber,schema:volumeNumber,Volume number of journal in which the article was published,one,recommended,outbreak:Publication,"[schema:Number, schema:Text]",
issueNumber,schema:issueNumber,Issue of journal in which the article was published,one,recommended,outbreak:Publication,"[schema:Number, schema:Text]",
author,schema:author,"Name of the author or organization that created the dataset.  Note: schema.org/creator and schema.org/organization have additional fields that can provide more information about the author/organization, if desired",many,required,outbreak:Publication,"[outbreak:Person,outbreak:Organization]",
name,schema:name,The author's name (as provided by the resource),one,required,"[outbreak:Person, outbreak:Organization]",schema:Text,
givenName,schema:givenName,The author's given name (if available),one,recommended,"[outbreak:Person, outbreak:Organization]",schema:Text,
familyName,schema:familyName,The author's family name (if available),one,recommended,"[outbreak:Person, outbreak:Organization]",schema:Text,
affiliation,schema:affiliation,The author's affiliation(s),many,recommended,"[outbreak:Person, outbreak:Organization]",schema:Text,
orcid,schema:identifier,The orcid identifier for the author,one,recommended,"[outbreak:Person, outbreak:Organization]",schema:Text,orcid
pagination,schema:pagination,Any description of pages for the article,one,recommended,outbreak:Publication,schema:Text,
license,schema:license,License,one,required,outbreak:Publication,schema:Text,
url,schema:url,url where the article can be found,many,required,outbreak:Publication,schema:URL,
abstract,schema:abstract,Article abstract ,one,recommended,outbreak:Publication,schema:Text,
publicationType,schema:publicationType,"Type of publication such as preprint, research article, case report, etc",many,recommended,outbreak:Publication,schema:Text,
dateModified,schema:dateModified,Date of Version update,many,optional,outbreak:Publication,schema:Date,
correction,schema:correction,Version number or correction statement,many,optional,outbreak:Publication,schema:Text,
funding,schema:funder,The funder of the study,many,recommended,outbreak:Publication,outbreak:MonetaryGrant,
identifier,schema:identifier,The identifier of the grant (if available),many,recommended,outbreak:MonetaryGrant,schema:Text,
citedBy,schema:citation,other articles or resources that cite this publication,many,optional,outbreak:Publication,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",
name,schema:name,name of the citedBy resource,one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
type,schema:additionalType,"type (publicatoin, protocol, dataset, code, etc.) of the citedBy resource",one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,"Protocols/guidelines, publications, analysis, dataset, etc"
identifier,schema:identifier,"identifier (pmid, WHO protocol id, etc.) of the citedby resource",one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
isBasedOn,schema:isBasedOn,"Associated datasets, software, protocols, etc. used by the work described in this publication, including reference publications",many,optional,outbreak:Publication,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",
